Order ID,Product Name,Category,Price (INR),Quantity Sold,Total Sales (INR),Order Date,Payment Method,Customer Rating,Month,Year,Profit (INR),Discount %,Customer Segment,Region
ORD00001,Educational Book,Books,49069.56,2,98139.12,2024-09-12,Debit Card,3.5,September,2024,19627.824,11,Online,West
ORD00002,Jeans,Clothing,12755.85,4,51023.4,2024-12-18,UPI,3.9,December,2024,10204.68,24,Wholesale,North
ORD00003,Face Cream,Beauty,11092.19,4,44368.76,2024-05-18,Debit Card,4.4,May,2024,8873.752,19,Online,South
ORD00004,Smartwatch,Electronics,32657.81,1,32657.81,2024-11-08,Debit Card,3.2,November,2024,6531.562000000001,15,Online,North
ORD00005,Cookware Set,Home & Kitchen,26590.08,3,79770.24,2024-12-27,UPI,3.1,December,2024,15954.048000000003,12,Retail,North
ORD00006,Mixer Grinder,Home & Kitchen,10475.03,2,20950.06,2024-10-22,Wallet,1.7,October,2024,4190.012000000001,25,Wholesale,North
ORD00007,Sneakers,Clothing,38647.72,3,115943.16,2024-07-04,Wallet,2.0,July,2024,23188.632,11,Wholesale,North
ORD00008,Table Lamp,Home & Kitchen,24818.59,3,74455.77,2024-12-27,Debit Card,2.4,December,2024,14891.154000000002,30,Wholesale,South
ORD00009,Jacket,Clothing,1987.39,2,3974.78,2025-01-18,Debit Card,2.6,January,2025,794.9560000000001,23,Online,North
ORD00010,Tablet,Electronics,26876.51,2,53753.02,2024-03-14,Debit Card,4.0,March,2024,10750.604,27,Online,North
ORD00011,Perfume,Beauty,46409.57,5,232047.85,2025-02-08,UPI,2.3,February,2025,46409.57000000001,15,Online,West
ORD00012,Lipstick,Beauty,48780.78,5,243903.9,2024-04-13,UPI,1.3,April,2024,48780.78,15,Retail,South
ORD00013,Educational Book,Books,6670.82,5,33354.1,2024-02-23,COD,1.2,February,2024,6670.82,28,Online,South
ORD00014,Smartphone,Electronics,10826.05,1,10826.05,2024-06-02,Wallet,3.7,June,2024,2165.21,25,Retail,East
ORD00015,Comic Book,Books,6839.1,1,6839.1,2024-09-12,Credit Card,1.6,September,2024,1367.8200000000002,8,Wholesale,South
ORD00016,Mixer Grinder,Home & Kitchen,18197.89,5,90989.45,2024-03-30,Debit Card,1.6,March,2024,18197.89,12,Online,South
ORD00017,Cookbook,Books,20817.46,2,41634.92,2024-03-30,Debit Card,2.3,March,2024,8326.984,28,Retail,East
ORD00018,Perfume,Beauty,44061.25,4,176245.0,2024-04-22,COD,2.5,April,2024,35249.0,7,Retail,South
ORD00019,Cookbook,Books,4398.59,5,21992.95,2024-03-22,Wallet,4.0,March,2024,4398.59,26,Online,South
ORD00020,T-Shirt,Clothing,32565.77,5,162828.85,2025-01-06,COD,4.4,January,2025,32565.770000000004,25,Wholesale,South
ORD00021,Cookware Set,Home & Kitchen,47529.36,1,47529.36,2024-07-09,Net Banking,4.5,July,2024,9505.872000000001,6,Wholesale,South
ORD00022,Jeans,Clothing,37129.73,3,111389.19,2025-01-22,Wallet,4.3,January,2025,22277.838000000003,28,Wholesale,East
ORD00023,Educational Book,Books,48258.19,4,193032.76,2024-06-23,UPI,1.6,June,2024,38606.552,16,Retail,South
ORD00024,Bedsheet,Home & Kitchen,32505.96,1,32505.96,2024-03-19,Wallet,2.8,March,2024,6501.192,10,Retail,South
ORD00025,Cookware Set,Home & Kitchen,4165.64,2,8331.28,2024-11-24,COD,1.1,November,2024,1666.2560000000003,6,Retail,East
ORD00026,T-Shirt,Clothing,2053.11,4,8212.44,2024-07-23,COD,3.4,July,2024,1642.4880000000003,25,Retail,West
ORD00027,Jeans,Clothing,38927.62,4,155710.48,2024-08-24,Wallet,2.5,August,2024,31142.096000000005,5,Wholesale,North
ORD00028,Mixer Grinder,Home & Kitchen,28978.47,4,115913.88,2024-07-21,UPI,2.3,July,2024,23182.776,16,Online,West
ORD00029,Lipstick,Beauty,21293.42,5,106467.1,2024-04-16,Wallet,2.2,April,2024,21293.420000000002,30,Retail,East
ORD00030,Lipstick,Beauty,49097.01,4,196388.04,2024-08-05,Credit Card,3.7,August,2024,39277.608,26,Retail,North
ORD00031,Perfume,Beauty,47651.19,1,47651.19,2024-04-14,Net Banking,3.6,April,2024,9530.238000000001,16,Wholesale,East
ORD00032,Hair Dryer,Beauty,15046.01,5,75230.05,2024-10-17,COD,1.1,October,2024,15046.010000000002,29,Online,East
ORD00033,Laptop,Electronics,36980.1,3,110940.3,2024-10-01,COD,3.2,October,2024,22188.06,21,Online,South
ORD00034,Table Lamp,Home & Kitchen,38144.67,2,76289.34,2024-07-15,Net Banking,3.1,July,2024,15257.868,14,Wholesale,North
ORD00035,Laptop,Electronics,49355.45,2,98710.9,2024-05-01,COD,3.5,May,2024,19742.18,20,Wholesale,South
ORD00036,Shampoo,Beauty,12945.96,3,38837.88,2024-06-10,Wallet,1.4,June,2024,7767.576,19,Online,North
ORD00037,Perfume,Beauty,34927.79,4,139711.16,2024-06-27,Credit Card,1.1,June,2024,27942.232000000004,19,Retail,East
ORD00038,Table Lamp,Home & Kitchen,3677.4,3,11032.2,2024-07-31,UPI,3.7,July,2024,2206.44,23,Online,East
ORD00039,Comic Book,Books,37004.54,4,148018.16,2024-10-26,Debit Card,4.0,October,2024,29603.632,16,Wholesale,West
ORD00040,Cookbook,Books,27961.78,5,139808.9,2024-02-23,Net Banking,4.0,February,2024,27961.78,27,Retail,North
ORD00041,Comic Book,Books,2655.8,2,5311.6,2024-02-12,Net Banking,3.7,February,2024,1062.3200000000002,24,Retail,South
ORD00042,Headphones,Electronics,965.51,4,3862.04,2024-06-06,COD,3.5,June,2024,772.408,29,Wholesale,West
ORD00043,Bedsheet,Home & Kitchen,2980.08,3,8940.24,2024-12-14,Net Banking,4.2,December,2024,1788.048,7,Wholesale,West
ORD00044,Mixer Grinder,Home & Kitchen,8598.58,1,8598.58,2024-10-09,Debit Card,1.1,October,2024,1719.7160000000001,9,Wholesale,West
ORD00045,Shampoo,Beauty,31850.15,2,63700.3,2024-04-14,Net Banking,2.8,April,2024,12740.060000000001,23,Online,South
ORD00046,Smartwatch,Electronics,33443.32,5,167216.6,2024-02-15,UPI,2.4,February,2024,33443.32,11,Online,West
ORD00047,Jacket,Clothing,29592.5,5,147962.5,2024-07-25,Net Banking,4.7,July,2024,29592.5,25,Retail,South
ORD00048,Hair Dryer,Beauty,11187.38,4,44749.52,2024-06-22,Wallet,2.3,June,2024,8949.904,13,Wholesale,West
ORD00049,Bedsheet,Home & Kitchen,23898.58,5,119492.9,2024-11-28,Credit Card,3.3,November,2024,23898.58,11,Retail,South
ORD00050,Comic Book,Books,1391.49,4,5565.96,2024-08-11,Credit Card,4.5,August,2024,1113.192,22,Retail,East
ORD00051,Jeans,Clothing,18607.69,5,93038.45,2024-09-10,COD,2.4,September,2024,18607.69,8,Retail,East
ORD00052,Fiction Novel,Books,46224.88,3,138674.64,2024-10-30,Credit Card,4.1,October,2024,27734.928000000004,29,Retail,East
ORD00053,Tablet,Electronics,11864.13,5,59320.65,2024-11-11,Debit Card,1.3,November,2024,11864.130000000001,18,Wholesale,East
ORD00054,Comic Book,Books,7757.2,5,38786.0,2024-11-22,Wallet,2.2,November,2024,7757.200000000001,22,Retail,East
ORD00055,Smartwatch,Electronics,29745.0,1,29745.0,2024-10-04,UPI,3.6,October,2024,5949.0,30,Wholesale,West
ORD00056,Jeans,Clothing,39176.54,5,195882.7,2024-04-04,Net Banking,4.1,April,2024,39176.54,13,Wholesale,West
ORD00057,Jeans,Clothing,18075.19,5,90375.95,2024-09-03,Debit Card,1.7,September,2024,18075.19,30,Online,West
ORD00058,Self-Help Book,Books,18830.59,4,75322.36,2024-05-16,Net Banking,3.6,May,2024,15064.472000000002,25,Wholesale,South
ORD00059,Headphones,Electronics,38476.48,4,153905.92,2024-08-30,Credit Card,2.0,August,2024,30781.184000000005,6,Online,South
ORD00060,Laptop,Electronics,27120.36,2,54240.72,2024-06-13,Credit Card,3.8,June,2024,10848.144,24,Wholesale,South
ORD00061,Cookbook,Books,31627.0,5,158135.0,2024-07-28,Debit Card,3.1,July,2024,31627.0,19,Wholesale,South
ORD00062,Comic Book,Books,14505.79,3,43517.37,2024-07-10,UPI,3.9,July,2024,8703.474,11,Wholesale,East
ORD00063,Smartwatch,Electronics,15229.67,3,45689.01,2024-07-21,Credit Card,2.7,July,2024,9137.802000000001,16,Online,East
